S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate
9,21,0.4036,711.7854,-4038.34,13385.52,0.505
9,20,0.3739,659.4211,-4081.76,12400.78,0.5026
10,19,0.3728,657.527,-4456.77,12365.16,0.5037
8,21,0.3718,655.7775,-4245.65,12332.26,0.5031
14,15,0.3647,643.2152,-4316.39,12096.02,0.5037
8,24,0.3635,641.0957,-4200.1,12056.16,0.5043
13,16,0.3594,633.968,-4316.39,11922.12,0.5035
9,22,0.3593,633.7074,-3942.64,11917.22,0.5041
8,22,0.3579,631.2741,-4401.95,11871.46,0.5028
8,23,0.3554,626.8988,-4548.68,11789.18,0.5028
7,23,0.3508,618.7352,-4456.98,11635.66,0.5033
11,18,0.3472,612.4031,-4293.93,11516.58,0.5035
12,17,0.3444,607.5109,-4365.06,11424.58,0.5037
1,49,0.3434,605.6817,-6064.17,11390.18,0.5003
10,20,0.3432,605.3583,-4157.83,11384.1,0.5039
11,17,0.3419,603.1537,-4445.77,11342.64,0.5012
6,25,0.337,594.4594,-4501.26,11179.14,0.5026
1,51,0.332,585.5504,-4949.51,11011.6,0.5001
11,19,0.3311,583.9859,-4040.83,10982.18,0.5031
1,41,0.3308,583.5786,-4631.93,10974.52,0.4999
1,50,0.3304,582.7959,-5612.81,10959.8,0.5003
10,21,0.3299,581.8632,-4142.17,10942.26,0.5033
9,24,0.3285,579.5064,-4158.0,10897.94,0.5047
1,48,0.3281,578.7545,-6078.15,10883.8,0.5007
7,22,0.3257,574.5813,-4717.32,10805.32,0.5016
2,50,0.3245,572.3266,-6029.05,10762.92,0.5041
9,23,0.3242,571.8119,-4291.4,10753.24,0.5035
11,22,0.3228,569.3839,-4312.43,10707.58,0.5041
7,24,0.3211,566.49,-4475.48,10653.16,0.5028
7,25,0.3199,564.2737,-4328.94,10611.48,0.5033
10,22,0.3179,560.7566,-4677.59,10545.34,0.5033
2,53,0.3178,560.5407,-5769.71,10541.28,0.5045
12,21,0.3176,560.2536,-4528.53,10535.88,0.5041
13,15,0.3165,558.3775,-4481.54,10500.6,0.5016
7,26,0.3158,557.0779,-4423.0,10476.16,0.5039
10,17,0.3154,556.3664,-4425.63,10462.78,0.4997
11,78,0.3141,554.0171,-4679.85,10418.6,0.5024
1,38,0.3133,552.6612,-4508.35,10393.1,0.5007
1,37,0.3118,550.0864,-4936.27,10344.68,0.5007
10,23,0.3116,549.7492,-4701.09,10338.34,0.5039
1,61,0.3114,549.3206,-4332.74,10330.28,0.5022
14,18,0.3108,548.3114,-4633.11,10311.3,0.5033
12,15,0.3102,547.2351,-4157.87,10291.06,0.4988
1,70,0.3096,546.1833,-4792.96,10271.28,0.5035
1,62,0.309,545.0134,-4332.74,10249.28,0.5022
2,52,0.3072,541.8814,-5750.59,10190.38,0.5041
14,16,0.307,541.5772,-5195.75,10184.66,0.502
10,18,0.307,541.4921,-4607.37,10183.06,0.4999
10,24,0.3069,541.3188,-4477.0,10179.8,0.5045
6,26,0.3068,541.2518,-4845.68,10178.54,0.5028
