Date,F1_raw,F1_continuous
2006-01-03,2286.5,9081.0997
2006-01-04,2302.0,9142.6597
2006-01-05,2291.75,9101.9507
2006-01-06,2300.25,9135.7094
2006-01-09,2314.0,9190.3191
2006-01-10,2333.5,9267.7656
2006-01-11,2351.5,9339.2547
2006-01-12,2361.1,9377.3822
2006-01-13,2400.0,9531.8781
2006-01-16,2219.0,8813.0156
2006-01-17,2379.0,8747.0142
2006-01-18,2411.75,8868.9334
2006-01-19,2400.5,8827.6826
2006-01-20,2369.75,8689.2631
2006-01-23,2424.0,8888.1838
2006-01-24,2440.75,8949.6018
2006-01-25,2482.0,9100.8549
2006-01-26,2456.75,9008.2696
2006-01-27,2473.75,9070.6043
2006-01-30,2493.5,9143.0224
2006-01-31,2499.0,9163.1895
2006-02-01,2555.0,9368.5271
2006-02-02,2591.5,9502.3632
2006-02-03,2605.5,9553.6976
2006-02-06,2638.5,9674.7001
2006-02-07,2581.75,9466.6125
2006-02-08,2573.0,9434.5285
2006-02-09,2613.75,9583.9482
2006-02-10,2411.0,8840.5162
2006-02-13,2444.0,8638.9753
2006-02-14,2470.5,8726.9844
2006-02-15,2337.0,8262.2963
2006-02-16,2312.25,8175.1672
2006-02-17,2290.75,8064.2757
2006-02-20,2357.0,8297.4999
2006-02-21,2408.0,8477.0385
2006-02-22,2406.5,8471.758
2006-02-23,2370.5,8345.0248
2006-02-24,2405.75,8469.1177
2006-02-27,2337.75,8229.7329
2006-02-28,2396.5,8436.5543
2006-03-01,2343.75,8250.8551
2006-03-02,2390.0,8413.6719
2006-03-03,2461.75,8666.2581
2006-03-06,2412.25,8492.0001
2006-03-07,2314.5,8147.8844
2006-03-08,2311.0,8135.5631
2006-03-09,2341.5,8242.9342
2006-03-10,2267.0,7980.6671
2006-03-13,2267.0,7980.6671
2006-03-14,2447.25,8206.9446
2006-03-15,2434.25,8164.361
2006-03-16,2455.75,8237.0036
2006-03-17,2504.5,8364.7544
2006-03-20,2476.0,8269.5676
2006-03-21,2475.0,8266.2277
2006-03-22,2451.75,8188.5752
2006-03-23,2515.5,8401.4932
2006-03-24,2522.25,8424.0375
2006-03-27,2538.0,8476.6407
2006-03-28,2525.0,8433.2222
2006-03-29,2496.5,8338.0353
2006-03-30,2514.25,8397.3183
2006-03-31,2451.25,8186.9053
2006-04-03,2497.5,8341.3752
2006-04-04,2439.0,8145.9916
2006-04-05,2485.5,8301.2965
2006-04-06,2562.75,8559.303
2006-04-07,2511.0,8386.4637
2006-04-10,2542.75,8492.5052
2006-04-11,2535.0,8466.6211
2006-04-12,2588.5,8645.3052
2006-04-13,2471.0,8252.8681
2006-04-18,2712.0,8651.0188
2006-04-19,2673.0,8536.3514
2006-04-20,2631.0,8407.3506
2006-04-21,2767.5,8815.0569
2006-04-24,2719.0,8660.5744
2006-04-25,2782.5,8862.835
2006-04-26,2829.5,9012.5397
2006-04-27,2730.5,8697.2043
2006-04-28,2742.0,8733.8342
2006-05-02,2782.0,8861.2424
2006-05-03,2732.5,8703.5747
2006-05-04,2859.0,9106.5032
2006-05-05,2917.75,9293.6341
2006-05-08,2914.5,9283.2822
2006-05-09,3005.0,9571.5433
2006-05-10,3088.5,9837.508
2006-05-11,3188.0,10154.4359
2006-05-12,2844.5,9060.3178
2006-05-15,2950.0,8627.7607
2006-05-16,2964.0,8674.5236
2006-05-17,2894.0,8469.9358
2006-05-18,2858.0,8367.6419
