Date,F1_raw,F2_raw,F1_continuous,Phase,is_roll_date,is_bridge_date,active_contract
2006-01-03,4584.0000,4537.0000,4584.0000,F1_Tracking,False,False,—
2006-01-04,4675.5000,4634.5000,4675.5000,F1_Tracking,False,False,—
2006-01-05,4638.0000,4599.0000,4638.0000,F1_Tracking,False,False,—
2006-01-06,4634.0000,4595.0000,4634.0000,F1_Tracking,False,False,—
2006-01-09,4693.0000,4654.0000,4693.0000,F1_Tracking,False,False,—
2006-01-10,4689.0000,4649.0000,4689.0000,F1_Tracking,False,False,—
2006-01-11,4681.0000,4642.0000,4681.0000,F1_Tracking,False,False,—
2006-01-12,4659.0000,4620.0000,4659.0000,F1_Tracking,False,False,—
2006-01-13,4747.0000,4700.0000,4747.0000,F1_Tracking,False,False,—
2006-01-16,4711.0000,4676.0000,4711.0000,F1_Direct_RollDay,True,False,LPF06
2006-01-17,4663.0000,4628.0000,4663.0000,F2_Tracking,False,False,LPF06
2006-01-18,4703.0000,4664.0000,4699.0000,F2_Tracking,False,False,LPF06
2006-01-19,4695.0000,4655.0000,4690.0000,F2_Tracking,False,False,LPF06
2006-01-20,4636.0000,4598.0000,4671.0000,Bridge,False,True,LPF06
2006-01-23,4703.0000,4664.0000,4738.0000,F1_Tracking,False,False,LPF06
2006-01-24,4743.0000,4706.0000,4778.0000,F1_Tracking,False,False,LPF06
2006-01-25,4872.0000,4837.0000,4907.0000,F1_Tracking,False,False,LPF06
2006-01-26,4859.0000,4828.0000,4894.0000,F1_Tracking,False,False,LPF06
2006-01-27,4929.0000,4898.0000,4964.0000,F1_Tracking,False,False,LPF06
2006-01-30,4915.0000,4887.0000,4950.0000,F1_Tracking,False,False,LPF06
2006-01-31,4912.0000,4886.0000,4947.0000,F1_Tracking,False,False,LPF06
2006-02-01,4937.0000,4911.0000,4972.0000,F1_Tracking,False,False,LPF06
2006-02-02,5065.5000,5039.5000,5100.5000,F1_Tracking,False,False,LPF06
2006-02-03,5092.0000,5067.0000,5127.0000,F1_Tracking,False,False,LPF06
2006-02-06,5129.5000,5107.5000,5164.5000,F1_Tracking,False,False,LPF06
2006-02-07,5035.0000,5015.0000,5070.0000,F1_Tracking,False,False,LPF06
2006-02-08,5041.0000,5022.0000,5076.0000,F1_Tracking,False,False,LPF06
2006-02-09,5081.0000,5066.0000,5116.0000,F1_Tracking,False,False,LPF06
2006-02-10,4894.0000,4881.0000,4929.0000,F1_Tracking,False,False,LPF06
2006-02-13,4934.0000,4915.0000,4969.0000,F1_Direct_RollDay,True,False,LPG06
2006-02-14,4988.0000,4965.0000,5019.0000,F2_Tracking,False,False,LPG06
2006-02-15,4834.0000,4809.0000,4863.0000,F2_Tracking,False,False,LPG06
2006-02-16,4848.0000,4822.0000,4876.0000,F2_Tracking,False,False,LPG06
2006-02-17,4864.0000,4836.0000,4918.0000,Bridge,False,True,LPG06
2006-02-20,4966.0000,4935.0000,5020.0000,F1_Tracking,False,False,LPG06
2006-02-21,5015.0000,4977.0000,5069.0000,F1_Tracking,False,False,LPG06
2006-02-22,5035.5000,4997.5000,5089.5000,F1_Tracking,False,False,LPG06
2006-02-23,4959.0000,4923.0000,5013.0000,F1_Tracking,False,False,LPG06
2006-02-24,4922.0000,4887.0000,4976.0000,F1_Tracking,False,False,LPG06
2006-02-27,4734.0000,4699.0000,4788.0000,F1_Tracking,False,False,LPG06
2006-02-28,4881.0000,4842.0000,4935.0000,F1_Tracking,False,False,LPG06
2006-03-01,4940.0000,4901.0000,4994.0000,F1_Tracking,False,False,LPG06
2006-03-02,5056.0000,5016.0000,5110.0000,F1_Tracking,False,False,LPG06
2006-03-03,5046.0000,5005.0000,5100.0000,F1_Tracking,False,False,LPG06
2006-03-06,4953.0000,4913.0000,5007.0000,F1_Tracking,False,False,LPG06
2006-03-07,4844.0000,4802.0000,4898.0000,F1_Tracking,False,False,LPG06
2006-03-08,4800.0000,4763.0000,4854.0000,F1_Tracking,False,False,LPG06
2006-03-09,4893.0000,4863.0000,4947.0000,F1_Tracking,False,False,LPG06
2006-03-10,4905.0000,4879.5000,4959.0000,F1_Tracking,False,False,LPG06
2006-03-13,4962.0000,4940.5000,5016.0000,F1_Direct_RollDay,True,False,LPH06
2006-03-14,4974.5000,4943.0000,5018.5000,F2_Tracking,False,False,LPH06
2006-03-15,5008.5000,4977.0000,5052.5000,F2_Tracking,False,False,LPH06
2006-03-16,4981.0000,4952.0000,5027.5000,F2_Tracking,False,False,LPH06
2006-03-17,5189.0000,5159.0000,5264.5000,Bridge,False,True,LPH06
2006-03-20,5164.0000,5135.0000,5239.5000,F1_Tracking,False,False,LPH06
2006-03-21,5161.0000,5133.0000,5236.5000,F1_Tracking,False,False,LPH06
2006-03-22,5163.0000,5137.0000,5238.5000,F1_Tracking,False,False,LPH06
2006-03-23,5290.0000,5265.0000,5365.5000,F1_Tracking,False,False,LPH06
2006-03-24,5304.0000,5280.0000,5379.5000,F1_Tracking,False,False,LPH06
2006-03-27,5360.5000,5339.5000,5436.0000,F1_Tracking,False,False,LPH06
2006-03-28,5365.5000,5348.0000,5441.0000,F1_Tracking,False,False,LPH06
2006-03-29,5391.0000,5373.0000,5466.5000,F1_Tracking,False,False,LPH06
2006-03-30,5466.0000,5449.0000,5541.5000,F1_Tracking,False,False,LPH06
2006-03-31,5440.0000,5423.0000,5515.5000,F1_Tracking,False,False,LPH06
2006-04-03,5661.5000,5646.5000,5737.0000,F1_Tracking,False,False,LPH06
2006-04-04,5588.0000,5576.0000,5663.5000,F1_Tracking,False,False,LPH06
2006-04-05,5742.5000,5737.5000,5818.0000,F1_Tracking,False,False,LPH06
2006-04-06,5802.5000,5800.5000,5878.0000,F1_Tracking,False,False,LPH06
2006-04-07,5751.0000,5749.0000,5826.5000,F1_Tracking,False,False,LPH06
2006-04-10,5937.5000,5937.5000,6013.0000,F1_Tracking,False,False,LPH06
2006-04-11,6010.0000,6008.0000,6085.5000,F1_Tracking,False,False,LPH06
2006-04-12,6168.0000,6156.0000,6243.5000,F1_Tracking,False,False,LPH06
2006-04-13,6259.0000,6224.0000,6334.5000,F1_Tracking,False,False,LPH06
2006-04-18,6555.0000,6506.0000,6630.5000,F1_Tracking,False,False,LPH06
2006-04-19,6479.0000,6438.0000,6554.5000,F1_Tracking,False,False,LPH06
2006-04-20,6370.0000,6338.0000,6445.5000,F1_Tracking,False,False,LPH06
2006-04-21,6857.0000,6824.0000,6932.5000,F1_Tracking,False,False,LPH06
2006-04-24,6884.0000,6845.0000,6959.5000,F1_Tracking,False,False,LPH06
2006-04-25,7327.0000,7283.0000,7402.5000,F1_Tracking,False,False,LPH06
2006-04-26,7427.0000,7377.0000,7502.5000,F1_Tracking,False,False,LPH06
2006-04-27,7182.0000,7131.0000,7257.5000,F1_Tracking,False,False,LPH06
2006-04-28,7118.0000,7066.0000,7193.5000,F1_Tracking,False,False,LPH06
2006-05-02,7269.0000,7214.0000,7344.5000,F1_Tracking,False,False,LPH06
2006-05-03,7226.0000,7180.0000,7301.5000,F1_Tracking,False,False,LPH06
2006-05-04,7776.0000,7730.0000,7851.5000,F1_Tracking,False,False,LPH06
2006-05-05,7769.0000,7728.0000,7844.5000,F1_Tracking,False,False,LPH06
2006-05-08,7748.0000,7707.0000,7823.5000,F1_Tracking,False,False,LPH06
2006-05-09,7942.0000,7900.0000,8017.5000,F1_Tracking,False,False,LPH06
2006-05-10,8237.0000,8182.0000,8312.5000,F1_Tracking,False,False,LPH06
2006-05-11,8796.0000,8724.0000,8871.5000,F1_Tracking,False,False,LPH06
2006-05-12,8634.0000,8574.0000,8709.5000,F1_Tracking,False,False,LPH06
2006-05-15,8345.0000,8295.0000,8420.5000,F1_Direct_RollDay,True,False,LPK06
2006-05-16,8435.0000,8395.0000,8520.5000,F2_Tracking,False,False,LPK06
2006-05-17,8231.0000,8193.0000,8318.5000,F2_Tracking,False,False,LPK06
2006-05-18,8200.0000,8165.0000,8290.5000,F2_Tracking,False,False,LPK06
2006-05-19,7646.0000,7621.0000,7771.5000,Bridge,False,True,LPK06
2006-05-22,7673.0000,7651.0000,7798.5000,F1_Tracking,False,False,LPK06
2006-05-23,8600.0000,8555.0000,8725.5000,F1_Tracking,False,False,LPK06
2006-05-24,7955.0000,7918.0000,8080.5000,F1_Tracking,False,False,LPK06
2006-05-25,8230.0000,8190.0000,8355.5000,F1_Tracking,False,False,LPK06
2006-05-26,8349.0000,8312.0000,8474.5000,F1_Tracking,False,False,LPK06
2006-05-30,8060.0000,8027.0000,8185.5000,F1_Tracking,False,False,LPK06
2006-05-31,8001.0000,7968.0000,8126.5000,F1_Tracking,False,False,LPK06
2006-06-01,7807.0000,7777.0000,7932.5000,F1_Tracking,False,False,LPK06
2006-06-02,7967.0000,7938.0000,8092.5000,F1_Tracking,False,False,LPK06
2006-06-05,7855.0000,7826.0000,7980.5000,F1_Tracking,False,False,LPK06
2006-06-06,7603.0000,7575.0000,7728.5000,F1_Tracking,False,False,LPK06
2006-06-07,7890.0000,7863.0000,8015.5000,F1_Tracking,False,False,LPK06
2006-06-08,7407.0000,7382.0000,7532.5000,F1_Tracking,False,False,LPK06
2006-06-09,7311.0000,7288.0000,7436.5000,F1_Tracking,False,False,LPK06
2006-06-12,7137.0000,7113.0000,7262.5000,F1_Tracking,False,False,LPK06
2006-06-13,6677.5000,6647.5000,6803.0000,F1_Tracking,False,False,LPK06
2006-06-14,6766.0000,6728.0000,6891.5000,F1_Tracking,False,False,LPK06
2006-06-15,7140.0000,7097.0000,7265.5000,F1_Tracking,False,False,LPK06
2006-06-16,7109.0000,7071.0000,7234.5000,F1_Tracking,False,False,LPK06
2006-06-19,6893.0000,6868.0000,7018.5000,F1_Direct_RollDay,True,False,LPM06
2006-06-20,6827.5000,6788.0000,6938.5000,F2_Tracking,False,False,LPM06
2006-06-21,6888.0000,6848.0000,6998.5000,F2_Tracking,False,False,LPM06
2006-06-22,6812.0000,6766.0000,6916.5000,F2_Tracking,False,False,LPM06
2006-06-23,6885.0000,6836.0000,7035.5000,Bridge,False,True,LPM06
2006-06-26,7110.0000,7062.0000,7260.5000,F1_Tracking,False,False,LPM06
2006-06-27,6855.0000,6805.0000,7005.5000,F1_Tracking,False,False,LPM06
2006-06-28,7010.0000,6963.0000,7160.5000,F1_Tracking,False,False,LPM06
2006-06-29,7413.0000,7365.0000,7563.5000,F1_Tracking,False,False,LPM06
2006-06-30,7425.0000,7380.0000,7575.5000,F1_Tracking,False,False,LPM06
2006-07-03,7381.0000,7339.0000,7531.5000,F1_Tracking,False,False,LPM06
2006-07-04,7518.0000,7476.0000,7668.5000,F1_Tracking,False,False,LPM06
2006-07-05,7477.0000,7439.0000,7627.5000,F1_Tracking,False,False,LPM06
2006-07-06,7954.0000,7923.0000,8104.5000,F1_Tracking,False,False,LPM06
2006-07-07,7840.0000,7811.0000,7990.5000,F1_Tracking,False,False,LPM06
2006-07-10,7851.0000,7823.0000,8001.5000,F1_Tracking,False,False,LPM06
2006-07-11,8022.0000,7991.0000,8172.5000,F1_Tracking,False,False,LPM06
2006-07-12,8159.0000,8124.0000,8309.5000,F1_Tracking,False,False,LPM06
2006-07-13,8035.0000,8000.0000,8185.5000,F1_Tracking,False,False,LPM06
2006-07-14,8196.0000,8160.0000,8346.5000,F1_Tracking,False,False,LPM06
2006-07-17,7838.0000,7818.0000,7988.5000,F1_Direct_RollDay,True,False,LPN06
2006-07-18,7890.5000,7859.5000,8030.0000,F2_Tracking,False,False,LPN06
2006-07-19,7870.0000,7844.0000,8014.5000,F2_Tracking,False,False,LPN06
2006-07-20,7430.0000,7408.0000,7578.5000,F2_Tracking,False,False,LPN06
2006-07-21,7102.0000,7079.0000,7272.5000,Bridge,False,True,LPN06
2006-07-24,7223.0000,7199.0000,7393.5000,F1_Tracking,False,False,LPN06
2006-07-25,7516.0000,7488.0000,7686.5000,F1_Tracking,False,False,LPN06
2006-07-26,7537.0000,7510.0000,7707.5000,F1_Tracking,False,False,LPN06
2006-07-27,7601.0000,7578.0000,7771.5000,F1_Tracking,False,False,LPN06
2006-07-28,7743.0000,7724.0000,7913.5000,F1_Tracking,False,False,LPN06
2006-07-31,8032.0000,8011.0000,8202.5000,F1_Tracking,False,False,LPN06
2006-08-01,7849.0000,7828.0000,8019.5000,F1_Tracking,False,False,LPN06
2006-08-02,7884.0000,7869.0000,8054.5000,F1_Tracking,False,False,LPN06
2006-08-03,7550.0000,7545.0000,7720.5000,F1_Tracking,False,False,LPN06
2006-08-04,7915.0000,7915.0000,8085.5000,F1_Tracking,False,False,LPN06
2006-08-07,7966.0000,7972.0000,8136.5000,F1_Tracking,False,False,LPN06
2006-08-08,7955.0000,7946.0000,8125.5000,F1_Tracking,False,False,LPN06
2006-08-09,8102.0000,8090.0000,8272.5000,F1_Tracking,False,False,LPN06
2006-08-10,7943.0000,7932.0000,8113.5000,F1_Tracking,False,False,LPN06
2006-08-11,7618.0000,7616.0000,7788.5000,F1_Tracking,False,False,LPN06
2006-08-14,7686.0000,7694.0000,7856.5000,F1_Direct_RollDay,True,False,LPQ06
2006-08-15,7687.0000,7677.0000,7839.5000,F2_Tracking,False,False,LPQ06
2006-08-16,7741.0000,7730.0000,7892.5000,F2_Tracking,False,False,LPQ06
2006-08-17,7334.0000,7322.0000,7484.5000,F2_Tracking,False,False,LPQ06
2006-08-18,7527.0000,7513.0000,7689.5000,Bridge,False,True,LPQ06
2006-08-21,7696.0000,7683.0000,7858.5000,F1_Tracking,False,False,LPQ06
2006-08-22,7655.0000,7649.0000,7817.5000,F1_Tracking,False,False,LPQ06
2006-08-23,7635.0000,7635.0000,7797.5000,F1_Tracking,False,False,LPQ06
2006-08-24,7456.0000,7455.0000,7618.5000,F1_Tracking,False,False,LPQ06
2006-08-25,7585.0000,7585.0000,7747.5000,F1_Tracking,False,False,LPQ06
2006-08-29,7422.0000,7423.0000,7584.5000,F1_Tracking,False,False,LPQ06
2006-08-30,7475.0000,7473.0000,7637.5000,F1_Tracking,False,False,LPQ06
2006-08-31,7728.0000,7724.0000,7890.5000,F1_Tracking,False,False,LPQ06
2006-09-01,7616.0000,7614.0000,7778.5000,F1_Tracking,False,False,LPQ06
2006-09-04,7679.0000,7675.0000,7841.5000,F1_Tracking,False,False,LPQ06
2006-09-05,7956.0000,7950.0000,8118.5000,F1_Tracking,False,False,LPQ06
2006-09-06,8076.0000,8071.0000,8238.5000,F1_Tracking,False,False,LPQ06
2006-09-07,8047.0000,8041.0000,8209.5000,F1_Tracking,False,False,LPQ06
2006-09-08,7844.0000,7839.0000,8006.5000,F1_Tracking,False,False,LPQ06
2006-09-11,7485.0000,7479.0000,7647.5000,F1_Tracking,False,False,LPQ06
2006-09-12,7590.0000,7583.0000,7752.5000,F1_Tracking,False,False,LPQ06
2006-09-13,7488.5000,7482.5000,7651.0000,F1_Tracking,False,False,LPQ06
2006-09-14,7441.0000,7437.0000,7603.5000,F1_Tracking,False,False,LPQ06
2006-09-15,7282.0000,7281.0000,7444.5000,F1_Tracking,False,False,LPQ06
2006-09-18,7459.0000,7460.0000,7621.5000,F1_Direct_RollDay,True,False,LPU06
2006-09-19,7509.0000,7507.0000,7668.5000,F2_Tracking,False,False,LPU06
2006-09-20,7466.0000,7462.0000,7623.5000,F2_Tracking,False,False,LPU06
2006-09-21,7589.0000,7579.0000,7740.5000,F2_Tracking,False,False,LPU06
2006-09-22,7583.0000,7568.0000,7744.5000,Bridge,False,True,LPU06
2006-09-25,7545.0000,7532.0000,7706.5000,F1_Tracking,False,False,LPU06
2006-09-26,7690.0000,7676.0000,7851.5000,F1_Tracking,False,False,LPU06
2006-09-27,7647.0000,7635.0000,7808.5000,F1_Tracking,False,False,LPU06
2006-09-28,7498.0000,7490.0000,7659.5000,F1_Tracking,False,False,LPU06
2006-09-29,7569.0000,7563.0000,7730.5000,F1_Tracking,False,False,LPU06
2006-10-02,7532.0000,7533.0000,7693.5000,F1_Tracking,False,False,LPU06
2006-10-03,7355.0000,7353.0000,7516.5000,F1_Tracking,False,False,LPU06
2006-10-04,7059.0000,7049.0000,7220.5000,F1_Tracking,False,False,LPU06
2006-10-05,7333.0000,7321.0000,7494.5000,F1_Tracking,False,False,LPU06
2006-10-06,7494.0000,7479.0000,7655.5000,F1_Tracking,False,False,LPU06
2006-10-09,7490.0000,7474.0000,7651.5000,F1_Tracking,False,False,LPU06
2006-10-10,7473.0000,7457.0000,7634.5000,F1_Tracking,False,False,LPU06
2006-10-11,7570.0000,7550.0000,7731.5000,F1_Tracking,False,False,LPU06
2006-10-12,7527.0000,7512.0000,7688.5000,F1_Tracking,False,False,LPU06
2006-10-13,7506.0000,7493.0000,7667.5000,F1_Tracking,False,False,LPU06
2006-10-16,7814.0000,7803.0000,7975.5000,F1_Direct_RollDay,True,False,LPV06
2006-10-17,7668.0000,7662.0000,7834.5000,F2_Tracking,False,False,LPV06
2006-10-18,7675.5000,7670.5000,7843.0000,F2_Tracking,False,False,LPV06
2006-10-19,7686.0000,7682.0000,7854.5000,F2_Tracking,False,False,LPV06
2006-10-20,7590.0000,7583.0000,7762.5000,Bridge,False,True,LPV06
2006-10-23,7571.0000,7566.0000,7743.5000,F1_Tracking,False,False,LPV06
2006-10-24,7516.0000,7512.0000,7688.5000,F1_Tracking,False,False,LPV06
2006-10-25,7481.0000,7477.0000,7653.5000,F1_Tracking,False,False,LPV06
2006-10-26,7466.0000,7464.0000,7638.5000,F1_Tracking,False,False,LPV06
2006-10-27,7489.0000,7486.0000,7661.5000,F1_Tracking,False,False,LPV06
2006-10-30,7381.0000,7381.0000,7553.5000,F1_Tracking,False,False,LPV06
2006-10-31,7387.5000,7391.5000,7560.0000,F1_Tracking,False,False,LPV06
2006-11-01,7152.0000,7160.0000,7324.5000,F1_Tracking,False,False,LPV06
2006-11-02,7247.5000,7254.5000,7420.0000,F1_Tracking,False,False,LPV06
2006-11-03,7334.5000,7341.0000,7507.0000,F1_Tracking,False,False,LPV06
2006-11-06,7360.0000,7368.5000,7532.5000,F1_Tracking,False,False,LPV06
2006-11-07,7410.5000,7422.5000,7583.0000,F1_Tracking,False,False,LPV06
2006-11-08,7106.0000,7119.0000,7278.5000,F1_Tracking,False,False,LPV06
2006-11-09,7308.0000,7323.0000,7480.5000,F1_Tracking,False,False,LPV06
2006-11-10,6900.5000,6916.5000,7073.0000,F1_Tracking,False,False,LPV06
2006-11-13,6775.0000,6931.0000,6947.5000,F1_Direct_RollDay,True,False,LPX06
2006-11-14,6834.0000,6849.0000,6865.5000,F2_Tracking,False,False,LPX06
2006-11-15,6896.0000,6911.0000,6927.5000,F2_Tracking,False,False,LPX06
2006-11-16,6795.0000,6810.0000,6826.5000,F2_Tracking,False,False,LPX06
2006-11-17,6781.0000,6797.0000,6797.5000,Bridge,False,True,LPX06
2006-11-20,6826.0000,6840.0000,6842.5000,F1_Tracking,False,False,LPX06
2006-11-21,6972.0000,6982.0000,6988.5000,F1_Tracking,False,False,LPX06
2006-11-22,6886.0000,6897.0000,6902.5000,F1_Tracking,False,False,LPX06
2006-11-23,6964.0000,6976.0000,6980.5000,F1_Tracking,False,False,LPX06
2006-11-24,7136.0000,7149.0000,7152.5000,F1_Tracking,False,False,LPX06
2006-11-27,7070.0000,7086.0000,7086.5000,F1_Tracking,False,False,LPX06
2006-11-28,6950.0000,6966.0000,6966.5000,F1_Tracking,False,False,LPX06
2006-11-29,6980.0000,6995.0000,6996.5000,F1_Tracking,False,False,LPX06
2006-11-30,7055.0000,7067.0000,7071.5000,F1_Tracking,False,False,LPX06
2006-12-01,6978.0000,6990.0000,6994.5000,F1_Tracking,False,False,LPX06
2006-12-04,6975.0000,6989.0000,6991.5000,F1_Tracking,False,False,LPX06
2006-12-05,7150.0000,7161.5000,7166.5000,F1_Tracking,False,False,LPX06
2006-12-06,6959.0000,6971.0000,6975.5000,F1_Tracking,False,False,LPX06
2006-12-07,6863.0000,6876.0000,6879.5000,F1_Tracking,False,False,LPX06
2006-12-08,6857.5000,6867.5000,6874.0000,F1_Tracking,False,False,LPX06
2006-12-11,6903.0000,6913.0000,6919.5000,F1_Tracking,False,False,LPX06
2006-12-12,6828.0000,6837.0000,6844.5000,F1_Tracking,False,False,LPX06
2006-12-13,6692.0000,6701.0000,6708.5000,F1_Tracking,False,False,LPX06
2006-12-14,6755.0000,6762.0000,6771.5000,F1_Tracking,False,False,LPX06
2006-12-15,6626.0000,6628.0000,6642.5000,F1_Tracking,False,False,LPX06
2006-12-18,6644.0000,6660.0000,6660.5000,F1_Direct_RollDay,True,False,LPZ06
2006-12-19,6626.0000,6638.0000,6638.5000,F2_Tracking,False,False,LPZ06
2006-12-20,6511.0000,6522.0000,6522.5000,F2_Tracking,False,False,LPZ06
2006-12-21,6313.0000,6323.0000,6323.5000,F2_Tracking,False,False,LPZ06
2006-12-22,6313.0000,6320.0000,6313.5000,Bridge,False,True,LPZ06
2006-12-27,6369.0000,6374.0000,6369.5000,F1_Tracking,False,False,LPZ06
2006-12-28,6369.0000,6374.0000,6369.5000,F1_Tracking,False,False,LPZ06
2006-12-29,6318.0000,6324.0000,6318.5000,F1_Tracking,False,False,LPZ06
2007-01-02,6089.0000,6099.0000,6089.5000,F1_Tracking,False,False,LPZ06
2007-01-03,5833.0000,5844.0000,5833.5000,F1_Tracking,False,False,LPZ06
2007-01-04,5704.0000,5711.0000,5704.5000,F1_Tracking,False,False,LPZ06
2007-01-05,5600.0000,5606.0000,5600.5000,F1_Tracking,False,False,LPZ06
2007-01-08,5598.0000,5604.0000,5598.5000,F1_Tracking,False,False,LPZ06
2007-01-09,5611.0000,5619.0000,5611.5000,F1_Tracking,False,False,LPZ06
2007-01-10,5867.5000,5876.5000,5868.0000,F1_Tracking,False,False,LPZ06
2007-01-11,5891.0000,5898.0000,5891.5000,F1_Tracking,False,False,LPZ06
2007-01-12,5740.0000,5749.0000,5740.5000,F1_Tracking,False,False,LPZ06
2007-01-15,5542.0000,5626.0000,5542.5000,F1_Direct_RollDay,True,False,LPF07
2007-01-16,5703.0000,5712.5000,5629.0000,F2_Tracking,False,False,LPF07
2007-01-17,5635.0000,5647.0000,5563.5000,F2_Tracking,False,False,LPF07
2007-01-18,5524.0000,5536.0000,5452.5000,F2_Tracking,False,False,LPF07
2007-01-19,5588.0000,5601.0000,5504.5000,Bridge,False,True,LPF07
2007-01-22,5597.0000,5612.0000,5513.5000,F1_Tracking,False,False,LPF07
2007-01-23,5640.0000,5654.0000,5556.5000,F1_Tracking,False,False,LPF07
2007-01-24,5697.5000,5709.5000,5614.0000,F1_Tracking,False,False,LPF07
2007-01-25,5843.0000,5855.0000,5759.5000,F1_Tracking,False,False,LPF07
2007-01-26,5791.0000,5804.0000,5707.5000,F1_Tracking,False,False,LPF07
2007-01-29,5559.5000,5575.5000,5476.0000,F1_Tracking,False,False,LPF07
2007-01-30,5614.5000,5629.5000,5531.0000,F1_Tracking,False,False,LPF07
2007-01-31,5711.0000,5724.0000,5627.5000,F1_Tracking,False,False,LPF07
2007-02-01,5575.0000,5588.0000,5491.5000,F1_Tracking,False,False,LPF07
2007-02-02,5318.0000,5332.0000,5234.5000,F1_Tracking,False,False,LPF07
2007-02-05,5313.5000,5327.5000,5230.0000,F1_Tracking,False,False,LPF07
