m,n,sharpe,ann_return,max_drawdown,total_pnl,hit_rate
35,43,0.6569,1211.8967,-4757.0,24093.66,0.5098
33,48,0.6335,1169.0877,-5253.0,23219.38,0.5117
35,44,0.6207,1145.2935,-4676.0,22764.98,0.5115
34,47,0.6178,1140.2713,-5335.0,22651.58,0.5112
36,44,0.6174,1139.3519,-4565.0,22646.88,0.5081
36,47,0.5994,1106.3696,-4706.0,21978.12,0.509
35,41,0.5977,1102.8741,-4786.0,21934.94,0.509
35,45,0.592,1092.4502,-5177.0,21710.28,0.5094
36,46,0.591,1090.6532,-5116.0,21670.24,0.5081
33,47,0.591,1090.714,-5041.0,21667.12,0.5104
39,42,0.5882,1085.4446,-5003.0,21583.98,0.5107
34,46,0.5872,1083.6211,-5041.0,21530.52,0.5101
37,43,0.5849,1079.3507,-4357.0,21458.52,0.5074
35,46,0.5832,1076.2388,-5229.0,21383.84,0.5089
36,43,0.5795,1069.3049,-4162.0,21258.8,0.5072
35,42,0.5791,1068.5273,-4757.0,21247.58,0.5083
40,42,0.5774,1065.4103,-4819.0,21185.6,0.5129
34,44,0.5761,1063.1935,-4739.0,21133.08,0.5121
35,48,0.5739,1059.2288,-4676.0,21037.46,0.5105
33,49,0.5735,1058.7163,-5588.0,21023.08,0.5106
34,45,0.5667,1045.8513,-4658.0,20784.22,0.5106
35,47,0.5633,1039.6545,-5610.0,20652.82,0.509
35,49,0.5631,1039.4869,-4076.0,20641.24,0.5094
36,45,0.5631,1039.3058,-4810.0,20654.14,0.5068
40,41,0.563,1038.8645,-4256.0,20661.86,0.5106
11,18,0.5624,1036.8216,-3991.69,20715.86,0.5065
38,46,0.5589,1031.6217,-4527.0,20497.34,0.5085
20,45,0.558,1029.7863,-3773.5,20464.96,0.5106
32,47,0.5547,1023.9637,-4743.0,20341.12,0.5102
21,46,0.5532,1021.0343,-3906.25,20286.98,0.5117
41,42,0.5518,1018.2973,-4137.0,20248.76,0.5103
22,44,0.551,1016.8746,-3665.0,20212.4,0.5103
20,44,0.5508,1016.6351,-3999.0,20207.64,0.5117
32,48,0.5499,1015.0792,-4611.0,20160.6,0.5093
36,48,0.5498,1014.8264,-4345.0,20155.58,0.5081
38,42,0.5498,1014.6955,-4990.0,20177.14,0.5085
