date,cash,3m,stock,year_scraped
2008-01-02,6666.00,6706.00,198925,2008
2008-01-03,6765.00,6818.00,198175,2008
2008-01-04,6990.50,7035.00,198600,2008
2008-01-07,6915.50,6950.50,201000,2008
2008-01-08,7106.00,7140.50,200975,2008
2008-01-09,7351.00,7370.50,200750,2008
2008-01-10,7120.50,7135.00,199650,2008
2008-01-11,7196.00,7220.00,199275,2008
2008-01-14,7361.00,7390.50,198600,2008
2008-01-15,7225.50,7251.00,194100,2008
2008-01-16,7020.00,7022.00,191050,2008
2008-01-17,7121.50,7125.50,185550,2008
2008-01-18,7062.00,7055.00,183225,2008
2008-01-21,6910.00,6895.00,180900,2008
2008-01-22,6920.00,6850.00,178850,2008
2008-01-23,7000.50,6980.00,176175,2008
2008-01-24,7092.00,7070.00,174300,2008
2008-01-25,7120.00,7126.00,172775,2008
2008-01-28,6893.00,6910.00,171675,2008
2008-01-29,7171.00,7179.00,171275,2008
2008-01-30,7165.00,7190.00,170650,2008
2008-01-31,7170.50,7170.00,178775,2008
2008-02-01,7345.00,7339.00,177800,2008
2008-02-04,7295.00,7295.00,177050,2008
2008-02-05,7202.00,7225.00,174775,2008
2008-02-06,7181.00,7190.00,171975,2008
2008-02-07,7350.00,7360.00,171975,2008
2008-02-08,7612.00,7560.00,169475,2008
2008-02-11,7820.50,7790.00,164125,2008
2008-02-12,7805.00,7800.00,159725,2008
2008-02-13,7680.50,7656.00,157600,2008
2008-02-14,7776.00,7766.50,154650,2008
2008-02-15,7801.00,7781.00,150650,2008
2008-02-18,7945.00,7920.00,144375,2008
2008-02-19,8080.00,8040.00,140350,2008
2008-02-20,8101.00,8050.00,135375,2008
2008-02-21,8281.00,8241.00,135375,2008
2008-02-22,8322.00,8283.00,141600,2008
2008-02-25,8247.00,8220.50,149225,2008
2008-02-26,8271.00,8225.00,149125,2008
2008-02-27,8516.00,8430.00,146600,2008
2008-02-28,8470.00,8440.00,144850,2008
2008-02-29,8540.50,8460.00,143650,2008
2008-03-03,8565.00,8495.00,141375,2008
2008-03-04,8685.00,8581.00,139550,2008
2008-03-05,8416.00,8320.50,138150,2008
2008-03-06,8881.00,8810.00,135800,2008
2008-03-07,8660.00,8560.00,134275,2008
2008-03-10,8400.50,8310.50,131925,2008
2008-03-11,8560.50,8500.00,130250,2008
2008-03-12,8356.00,8280.00,128975,2008
2008-03-13,8550.00,8445.00,127950,2008
2008-03-14,8611.00,8490.00,125225,2008
2008-03-17,8360.00,8140.00,125500,2008
2008-03-18,8285.00,8161.00,124575,2008
2008-03-19,8210.50,8112.00,122975,2008
2008-03-20,7789.00,7665.00,121875,2008
2008-03-25,8240.00,8100.00,120175,2008
2008-03-26,8260.00,8150.00,118050,2008
2008-03-27,8457.00,8350.00,117225,2008
2008-03-28,8540.00,8456.00,115250,2008
2008-03-31,8520.00,8410.00,112500,2008
2008-04-01,8325.50,8197.00,111350,2008
2008-04-02,8464.00,8345.00,112075,2008
2008-04-03,8591.00,8441.00,112575,2008
2008-04-04,8645.00,8510.50,115150,2008
2008-04-07,8740.00,8641.00,116150,2008
2008-04-08,8682.00,8559.00,115050,2008
2008-04-09,8650.00,8550.00,115575,2008
2008-04-10,8884.50,8720.50,116100,2008
2008-04-11,8810.00,8660.00,115150,2008
2008-04-14,8679.50,8520.00,116250,2008
2008-04-15,8720.00,8589.00,117150,2008
2008-04-16,8736.50,8635.00,116150,2008
2008-04-17,8861.50,8750.50,116525,2008
2008-04-18,8630.00,8532.00,114200,2008
2008-04-21,8641.50,8551.00,113725,2008
2008-04-22,8770.00,8650.00,113725,2008
2008-04-23,8796.00,8695.50,112475,2008
2008-04-24,8700.50,8595.00,112200,2008
2008-04-25,8600.00,8521.00,110775,2008
2008-04-28,8746.00,8601.00,110325,2008
2008-04-29,8740.00,8585.50,109650,2008
2008-04-30,8655.00,8500.00,110525,2008
2008-05-01,8686.00,8540.00,110075,2008
2008-05-02,8390.00,8225.00,109625,2008
2008-05-06,8622.00,8480.00,109650,2008
2008-05-07,8641.00,8505.00,109025,2008
2008-05-08,8460.00,8285.00,110125,2008
2008-05-09,8400.00,8270.00,121275,2008
2008-05-12,8276.00,8171.00,121650,2008
2008-05-13,8410.00,8300.50,121775,2008
2008-05-14,8180.00,8090.00,121425,2008
2008-05-15,8360.00,8193.50,120850,2008
2008-05-16,8470.00,8342.00,121225,2008
2008-05-19,8540.00,8410.00,122725,2008
2008-05-20,8360.00,8236.00,122650,2008
2008-05-21,8395.00,8290.00,124950,2008
2008-05-22,8420.00,8301.00,125200,2008
2008-05-23,8278.00,8155.00,125375,2008
2008-05-27,8376.00,8230.00,124400,2008
2008-05-28,8176.00,8061.00,125800,2008
2008-05-29,8110.00,7981.00,126400,2008
2008-05-30,8105.00,7955.00,124950,2008
2008-06-02,7980.00,7850.00,123950,2008
2008-06-03,8060.00,7927.00,122900,2008
2008-06-04,8006.00,7871.00,122250,2008
2008-06-05,7921.00,7789.50,123500,2008
2008-06-06,8106.00,7986.00,122550,2008
2008-06-09,8092.50,7980.00,121150,2008
2008-06-10,8050.00,7921.00,120550,2008
2008-06-11,7989.00,7841.00,121275,2008
2008-06-12,7955.00,7815.00,120625,2008
2008-06-13,8025.00,7865.00,121175,2008
2008-06-16,8255.00,8040.00,122050,2008
2008-06-17,8181.00,8042.50,123550,2008
2008-06-18,8296.00,8126.00,123900,2008
2008-06-19,8385.50,8228.00,124225,2008
2008-06-20,8590.00,8421.00,124000,2008
2008-06-23,8540.50,8385.00,123125,2008
2008-06-24,8491.50,8341.00,123150,2008
2008-06-25,8542.00,8374.00,122625,2008
2008-06-26,8551.00,8388.00,123050,2008
2008-06-27,8680.00,8500.00,122900,2008
2008-06-30,8775.50,8585.00,122600,2008
2008-07-01,8711.00,8550.50,122350,2008
2008-07-02,8750.50,8595.00,122475,2008
2008-07-03,8985.00,8812.00,122500,2008
2008-07-04,8661.00,8501.00,122575,2008
2008-07-07,8565.00,8410.00,122075,2008
2008-07-08,8540.00,8370.00,122175,2008
2008-07-09,8355.00,8200.00,124325,2008
2008-07-10,8423.00,8279.00,124850,2008
2008-07-11,8499.00,8291.00,124125,2008
2008-07-14,8480.00,8271.00,124725,2008
2008-07-15,8475.50,8275.50,125050,2008
2008-07-16,8291.00,8085.00,125700,2008
2008-07-17,8301.00,8086.00,127900,2008
2008-07-18,8324.00,8096.00,128550,2008
2008-07-21,8390.00,8161.00,128725,2008
2008-07-22,8441.00,8226.00,129325,2008
2008-07-23,8310.00,8110.00,129450,2008
2008-07-24,8259.50,8031.50,130875,2008
2008-07-25,8160.00,7955.00,133475,2008
2008-07-28,8190.00,7976.00,136050,2008
2008-07-29,8096.00,7913.00,136725,2008
2008-07-30,8055.00,7858.00,137950,2008
2008-07-31,8260.50,8075.00,142400,2008
2008-08-01,8096.00,7910.00,144650,2008
2008-08-04,7905.00,7755.00,146200,2008
2008-08-05,7809.50,7621.00,148750,2008
2008-08-06,7871.00,7721.00,150325,2008
2008-08-07,7826.00,7685.00,151100,2008
2008-08-08,7550.00,7430.00,150875,2008
2008-08-11,7460.50,7380.00,151625,2008
2008-08-12,7261.00,7226.00,151700,2008
2008-08-13,7318.00,7240.00,151575,2008
2008-08-14,7640.00,7590.00,153950,2008
2008-08-15,7310.00,7275.00,154050,2008
2008-08-18,7432.00,7410.00,154575,2008
2008-08-19,7477.00,7391.00,156150,2008
2008-08-20,7670.00,7565.00,156125,2008
2008-08-21,7842.00,7745.00,156525,2008
2008-08-22,7861.00,7762.00,163800,2008
2008-08-26,7581.00,7510.00,166900,2008
2008-08-27,7626.00,7561.00,167850,2008
2008-08-28,7648.00,7590.00,170050,2008
2008-08-29,7510.00,7450.00,173375,2008
2008-09-01,7371.00,7360.00,173725,2008
2008-09-02,7225.00,7181.00,179800,2008
2008-09-03,7360.00,7309.00,180525,2008
2008-09-04,7420.00,7375.00,182100,2008
2008-09-05,7075.00,7035.00,200875,2008
2008-09-08,6990.00,6970.00,200825,2008
2008-09-09,6926.00,6878.50,202125,2008
2008-09-10,6861.00,6850.00,203850,2008
2008-09-11,6900.00,6866.00,204125,2008
2008-09-12,7096.00,7056.00,203075,2008
2008-09-15,6879.00,6820.50,204350,2008
2008-09-16,6841.00,6795.00,203975,2008
2008-09-17,6932.00,6886.00,203975,2008
2008-09-18,6932.00,6890.00,204150,2008
2008-09-19,6900.00,6867.00,209800,2008
2008-09-22,7166.00,7140.00,206700,2008
2008-09-23,7090.00,7091.00,202075,2008
2008-09-24,6995.00,6995.00,201050,2008
2008-09-25,6905.00,6866.00,200525,2008
2008-09-26,6926.00,6885.50,200175,2008
2008-09-29,6590.00,6555.00,198925,2008
2008-09-30,6419.00,6399.00,198600,2008
2008-10-01,6379.00,6361.00,199050,2008
2008-10-02,6221.00,6190.00,199075,2008
2008-10-03,5960.00,5885.00,198500,2008
2008-10-06,5706.00,5611.00,198750,2008
2008-10-07,5739.00,5630.00,208350,2008
2008-10-08,5505.00,5440.00,208525,2008
2008-10-09,5402.00,5341.00,209300,2008
2008-10-10,5000.00,4880.00,209400,2008
2008-10-13,5031.00,4920.00,209325,2008
2008-10-14,5555.00,5520.00,211800,2008
2008-10-15,5126.00,5060.00,211625,2008
2008-10-16,4880.00,4819.00,212025,2008
2008-10-17,4701.00,4650.00,211450,2008
2008-10-20,4875.50,4826.00,212400,2008
2008-10-21,4490.00,4510.00,205900,2008
2008-10-22,4286.00,4285.00,207750,2008
2008-10-23,3986.00,3965.00,209250,2008
2008-10-24,3721.00,3725.00,211975,2008
2008-10-27,3686.00,3709.00,213375,2008
2008-10-28,4129.00,4090.00,215550,2008
